" Newer position available via Satellite1 hour, 35 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite1 hour, 40 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite1 hour, 42 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite1 hour, 43 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite1 hour, 51 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite1 hour, 57 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 2 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 7 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 12 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 17 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 23 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 28 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 33 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 38 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 43 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 49 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
" Newer position available via Satellite2 hours, 54 minutes ago (2018-12-12 21:56 (UTC))",2018-12-12 13:56 (UTC -8),USWC - US West Coast,32.72274° / -117.2262°,0.1kn / -,2903 ,338221954,WDA5898,USA [US],Fishing,-,-,N/a,Flag: USA [US],Class B
