3 minutes ago (2018-12-12 23:28 (UTC)),2018-12-12 15:28 (UTC -8),USWC - US West Coast,32.76217° / -117.2366°,0.0kn / -,708 ShipTrackingAIS.blogspot.com ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
3 minutes ago (2018-12-12 23:34 (UTC)),2018-12-12 15:34 (UTC -8),USWC - US West Coast,32.76217° / -117.2366°,0.0kn / -,708 ShipTrackingAIS.blogspot.com ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
2 minutes ago (2018-12-12 23:37 (UTC)),2018-12-12 15:37 (UTC -8),USWC - US West Coast,32.76217° / -117.2366°,0.0kn / -,2903 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
6 minutes ago (2018-12-12 23:34 (UTC)),2018-12-12 15:34 (UTC -8),USWC - US West Coast,32.76217° / -117.2366°,0.0kn / -,708 ShipTrackingAIS.blogspot.com ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
6 minutes ago (2018-12-12 23:42 (UTC)),2018-12-12 15:42 (UTC -8),USWC - US West Coast,32.76217° / -117.2366°,0.0kn / -,708 ShipTrackingAIS.blogspot.com ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
5 minutes ago (2018-12-12 23:48 (UTC)),2018-12-12 15:48 (UTC -8),USWC - US West Coast,32.76217° / -117.2366°,0.0kn / -,2903 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
4 minutes ago (2018-12-12 23:54 (UTC)),2018-12-12 15:54 (UTC -8),USWC - US West Coast,32.76217° / -117.2366°,0.0kn / -,708 ShipTrackingAIS.blogspot.com ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
4 minutes ago (2018-12-13 00:00 (UTC)),2018-12-12 16:00 (UTC -8),USWC - US West Coast,32.76217° / -117.2366°,0.0kn / -,708 ShipTrackingAIS.blogspot.com ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
4 minutes ago (2018-12-13 00:04 (UTC)),2018-12-12 16:04 (UTC -8),USWC - US West Coast,32.76217° / -117.2366°,0.0kn / -,708 ShipTrackingAIS.blogspot.com ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
3 minutes ago (2018-12-13 00:11 (UTC)),2018-12-12 16:11 (UTC -8),USWC - US West Coast,32.76217° / -117.2366°,0.0kn / -,708 ShipTrackingAIS.blogspot.com ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
