4 minutes ago (2018-12-16 08:50 (UTC)),2018-12-16 00:50 (UTC -8),USWC - US West Coast,32.76216° / -117.2366°,0.0kn / -,2903 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
5 minutes ago (2018-12-16 08:55 (UTC)),2018-12-16 00:55 (UTC -8),USWC - US West Coast,32.76216° / -117.2366°,0.1kn / -,2903 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
5 minutes ago (2018-12-16 08:59 (UTC)),2018-12-16 00:59 (UTC -8),USWC - US West Coast,32.76216° / -117.2366°,0.0kn / -,2903 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
5 minutes ago (2018-12-16 09:04 (UTC)),2018-12-16 01:04 (UTC -8),USWC - US West Coast,32.76215° / -117.2366°,0.0kn / -,2903 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
1 minute ago (2018-12-16 09:13 (UTC)),2018-12-16 01:13 (UTC -8),USWC - US West Coast,32.76215° / -117.2366°,0.0kn / -,708 ShipTrackingAIS.blogspot.com ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
2 minutes ago (2018-12-16 09:18 (UTC)),2018-12-16 01:18 (UTC -8),USWC - US West Coast,32.76215° / -117.2366°,0.0kn / -,2903 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
3 minutes ago (2018-12-16 09:22 (UTC)),2018-12-16 01:22 (UTC -8),USWC - US West Coast,32.76215° / -117.2366°,0.0kn / -,2903 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
1 minute ago (2018-12-16 09:30 (UTC)),2018-12-16 01:30 (UTC -8),USWC - US West Coast,32.76215° / -117.2366°,0.0kn / -,3606 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
 Newer position available via Satellite6 minutes ago (2018-12-16 09:30 (UTC)),2018-12-16 01:30 (UTC -8),USWC - US West Coast,32.76215° / -117.2366°,0.0kn / -,3606 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
1 minute ago (2018-12-16 09:40 (UTC)),2018-12-16 01:40 (UTC -8),USWC - US West Coast,32.76215° / -117.2366°,0.0kn / -,2903 ,369713000,WDJ5323,USA [US],Wing In Grnd,-,-,23m × 7.4m,Flag: USA [US],Stopped
